,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,provinceName,provinceShortName
12,8,19,22,33,40,43,46,52,62,64,72,80,91,106,117,124,131,138,144,157,157,159,162,162,163,163,163,168,168,168,168,168,168,168,168,168,168,海南省,海南
13,7,18,36,48,72,109,162,240,286,333,391,476,548,600,661,698,740,771,804,844,872,900,913,925,930,933,934,934,934,934,934,934,934,934,934,935,935,江西省,江西
14,5,15,22,35,46,56,63,87,101,116,128,142,165,173,184,195,208,213,219,225,229,230,232,236,240,240,242,245,245,245,245,245,245,245,245,245,245,陕西省,陕西
15,4,16,21,27,34,39,41,48,64,70,74,81,89,94,99,105,107,108,111,116,117,119,119,121,121,121,121,121,121,121,121,121,121,121,121,121,121,辽宁省,辽宁
16,10,18,35,59,80,84,101,120,144,159,179,194,205,215,224,239,250,261,267,272,279,281,285,287,290,292,293,293,293,293,293,293,294,294,296,296,296,福建省,福建
17,549,730,1058,1423,2714,3554,4903,5806,7153,9074,11177,13522,16678,19665,22112,24953,27100,29631,31728,33366,48206,51986,54406,56249,58182,59989,61682,62031,62662,63454,64084,64287,64786,65188,65596,65914,66337,湖北省,湖北
18,2,8,13,18,33,48,65,82,96,104,113,126,135,157,172,195,206,218,239,251,265,283,291,300,301,302,306,307,308,309,311,311,311,312,317,318,318,河北省,河北
19,4,9,15,21,30,38,44,59,80,95,121,155,190,227,277,295,307,331,360,378,395,419,425,445,457,464,470,476,479,479,480,480,480,480,480,480,480,黑龙江省,黑龙江
20,2,3,4,7,11,12,17,21,26,28,31,34,34,40,43,45,45,49,53,58,64,67,70,70,70,70,71,71,71,71,71,71,71,71,72,72,73,宁夏回族自治区,宁夏
21,2,7,7,11,15,16,18,20,23,27,34,35,42,46,50,52,54,58,58,60,61,65,68,70,72,73,75,75,75,75,75,75,75,75,75,75,75,内蒙古自治区,内蒙古
22,3,4,-1,6,8,9,14,14,17,23,31,42,54,59,65,69,78,80,81,83,84,86,88,89,89,89,90,91,91,91,91,93,93,93,93,93,93,吉林省,吉林
23,3,4,5,7,9,9,12,29,29,38,46,58,64,71,81,89,99,109,127,133,135,140,143,144,146,146,146,146,146,146,146,146,146,146,146,146,146,贵州省,贵州
24,2,4,7,14,19,24,26,29,40,40,51,57,57,62,67,79,79,83,86,86,90,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,甘肃省,甘肃
25,1,6,9,13,20,27,35,39,47,56,66,74,81,90,96,104,115,119,122,124,126,126,127,128,129,130,131,131,132,132,132,132,133,133,133,133,133,山西省,山西
26,-1,1,-1,6,6,6,8,8,9,11,13,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,青海省,青海
27,-1,3,4,5,10,13,14,17,18,21,24,29,32,36,39,42,45,49,55,59,63,65,70,71,75,76,76,76,76,76,76,76,76,76,76,76,76,新疆维吾尔自治区,新疆
28,-1,-1,14,22,24,27,31,32,41,48,60,67,69,78,81,88,90,95,105,112,117,120,122,124,125,128,130,131,132,135,135,135,135,135,135,136,136,天津市,天津
29,-1,-1,2,-1,7,7,7,7,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,澳门,澳门
30,-1,-1,-1,53,66,96,112,135,169,182,203,219,243,257,277,286,293,299,303,311,315,318,326,328,332,333,333,334,334,335,335,335,336,336,337,337,337,上海市,上海
31,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,西藏自治区,西藏
